model15A5,520,12,4
model15A5,5,192,18
model15A5,6,0,141
model15A7,512,16,7
model15A7,24,173,17
model15A7,10,0,137
model15A3,527,10,0
model15A3,13,185,18
model15A3,13,0,134
model15A11,520,8,5
model15A11,23,155,34
model15A11,9,0,138
model15A9,528,5,1
model15A9,49,147,17
model15A9,12,0,135
model16NA1,485,49,4
model16NA1,8,190,19
model16NA1,8,0,139
model16NA5,484,12,40
model16NA5,6,191,18
model16NA5,2,0,145
model16NA7,506,15,14
model16NA7,16,175,23
model16NA7,5,0,142
model16NA3,535,2,0
model16NA3,47,165,4
model16NA3,39,10,98
model16NA11,516,3,14
model16NA11,31,163,18
model16NA11,4,0,143
model16NA9,517,5,12
model16NA9,13,171,29
model16NA9,3,0,144
model16A1,516,13,9
model16A1,11,188,18
model16A1,7,0,140
model16A5,525,8,3
model16A5,14,183,18
model16A5,6,0,141
model16A7,517,12,6
model16A7,8,189,17
model16A7,11,0,136
model16A3,533,4,0
model16A3,12,186,18
model16A3,10,0,137
model16A11,526,7,0
model16A11,31,166,15
model16A11,22,0,125
model16A9,522,6,6
model16A9,20,168,25
model16A9,9,0,138
model17NA1,521,14,3
model17NA1,29,187,1
model17NA1,40,0,107
model17NA5,526,10,0
model17NA5,14,184,17
model17NA5,17,0,130
model17NA7,517,9,9
model17NA7,12,185,17
model17NA7,12,0,135
model17NA3,534,3,0
model17NA3,17,181,18
model17NA3,7,0,140
model17NA11,528,3,2
model17NA11,34,162,16
model17NA11,17,0,130
model17NA9,510,14,10
model17NA9,12,184,17
model17NA9,12,0,135
model17A1,529,0,9
model17A1,12,187,18
model17A1,7,0,140
model17A5,501,27,8
model17A5,5,192,18
model17A5,3,0,144
model17A7,514,9,12
model17A7,30,167,17
model17A7,10,0,137
model17A3,527,3,7
model17A3,16,182,18
model17A3,6,0,141
model17A11,526,4,3
model17A11,53,144,15
model17A11,26,0,121
model17A9,523,4,7
model17A9,32,165,16
model17A9,12,0,135
model18NA1,507,26,5
model18NA1,15,184,18
model18NA1,8,1,138
model18NA5,525,7,4
model18NA5,13,185,17
model18NA5,9,0,138
model18NA7,523,9,3
model18NA7,15,183,16
model18NA7,17,0,130
model18NA3,535,2,0
model18NA3,17,180,19
model18NA3,9,0,138
model18NA11,515,11,7
model18NA11,25,156,31
model18NA11,14,0,133
model18NA9,517,9,8
model18NA9,18,178,17
model18NA9,10,0,137
model18A1,425,112,1
model18A1,30,187,0
model18A1,126,4,17
model18A5,526,8,2
model18A5,11,186,18
model18A5,9,0,138
model18A7,522,10,3
model18A7,16,181,17
model18A7,15,0,132
model18A3,534,3,0
model18A3,20,178,18
model18A3,9,0,138
model18A11,517,10,6
model18A11,23,172,17
model18A11,13,0,134
model18A9,519,9,6
model18A9,20,176,17
model18A9,14,0,133
model19NA1,519,13,6
model19NA1,14,185,18
model19NA1,13,0,134
model19NA5,527,9,0
