ECE,Group,LSTM,conv,augmented,frame,mAP,normal_acc,mandown_acc,cross_acc
0.05657061563333336,0,1,5,1,3,0.9499430700837049,0.9799539641816204,0.9297300591572123,0.9401451869122822
0.0482255404342985,0,1,5,1,5,0.9725214738142,0.990394497517919,0.9660299436306472,0.9611399802940337
0.07714594466517857,0,1,5,1,7,0.9434639267756079,0.9813528770312501,0.904169678448442,0.9448692248471317
0.08309335315436239,0,1,5,1,9,0.951084240466305,0.99222655621185,0.9290873360200675,0.9319388291669979
0.056551969789357004,0,1,5,0,1,0.9437766573126779,0.9560514508619287,0.9234950821306007,0.9517834389455043
0.10195106204035877,0,1,5,0,11,0.9474103548976883,0.9863914081502332,0.9249668097692355,0.9308728467735967
0.03836579454444456,0,1,5,0,3,0.9722315184489569,0.9823989236777183,0.966277343151599,0.9680182885175538
0.05561406551224951,0,1,5,0,5,0.97126962390323,0.9921689459825406,0.9613877362148394,0.9602521895123102
0.07635650477678575,0,1,5,0,7,0.9565405051188308,0.9923037408824343,0.9334921132224515,0.9438256612516066
0.05712472225950772,0,1,5,0,9,0.9534529557015614,0.9937258872067517,0.9489080158267473,0.9177249640711852
0.05258345935698451,0,1,6,1,1,0.9368862364016204,0.972794349657944,0.9198392309278134,0.9180251286191039
0.07562152560538116,0,1,6,1,11,0.959956609602207,0.9876293971948108,0.9507860994063109,0.9414543322054992
0.04453709287777763,0,1,6,1,3,0.9541182163818634,0.9709086482813953,0.9348804019936463,0.9565655988705486
0.05377598915367493,0,1,6,1,5,0.9710380986787769,0.9910956804923688,0.9635187747369975,0.9584998408069643
0.05960136330357155,0,1,6,1,7,0.9502351074124401,0.9911562838619891,0.9173402578403121,0.9422087805350193
0.06864190824384778,0,1,6,1,9,0.9334236893659323,0.9896972627421601,0.9015453693466673,0.9090284360089699
0.04418604123059878,0,1,6,0,1,0.9288086105417928,0.9544567405916438,0.9122842120978116,0.9196848789359229
0.06689671078475327,0,1,6,0,11,0.9563205152605777,0.991246578344873,0.9378374627603595,0.9398775046765007
0.060026002077777724,0,1,6,0,3,0.9531001166189368,0.9792271328969909,0.932256067677784,0.9478171492820355
0.07236137336302896,0,1,6,0,5,0.9369817383456439,0.9859337402669005,0.9073615386326359,0.9176499361373951
